Transliterated Name,Length of Reign,Running Total
Oualerianouizgallin, 15, 591
Klaudio,1,592
Aurillianou,6,598
Probou,7,605
Karouizkarinou,2,607
Dioklitianou,20,627
Konstantiou,4,631
Konstantiou,29,660
Konstantiou,24,684
Ioulianou,2,686
Iobianou,1,687
Oualentos,1*4,701
Oualentinianou,10,697*
Theodosiou,16,717
Arkadiou,14,731
Theodosiouniou,42,773
Markianou,6,779
Leontos,18,797
Zinonos,17,814
Anastasiou,27,841
Ioustinou,9,850
Ioustinianou,38,888
Ioustinou,13,901
Tiberioutou Konstantou,4,905
Maurikiouphoka,20,925
Thoka,8,933
Erakleiou,30,963
Kunstantou (something),1,964
Konstantinou,27,991
Konstantinou,17,1008
Ioustinianotou 1,10,1018
Leontos,3,1021
Tiberiou,7,1028
Ioustiniantou 2,6,1034
